"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Ang Thong",38.4409654104824,37.3430685337332,39.2765438534574,38.9535103716509,38.6824749343349,32.9750695758445,30.4029944057827,29.6909356859063,26.0816124549972,50.5649066080974,44.6499224155516,30.1213294071903,23.5768438321391,46.4142539271904,39.3322075327269,38.532252055182,38.5390463652979,34.726948788226,41.2786907962715,37.1548458403529,36.3414931028815,34.6903306128854,40.7505852770818,37.454375678409,55.6965706749834,48.6430759962168
"Buri Ram",52.5482515265944,48.4819423509331,48.0420805393042,46.1118775292705,45.3896917139573,34.6584415866455,33.7460263272992,35.2686222227702,34.6610541553601,41.8073691570438,41.7945427744557,36.6950101791656,35.7333620273339,39.2749673976892,38.6505702878172,38.7466855871854,35.1101877679979,34.2861828995497,35.0423029465364,33.7976173084182,36.6278698443303,36.1818450805376,35.4207001700592,35.0712807594286,47.4568251253955,46.8300361918509
"Chachoengsao",44.2691874472589,42.4422231075513,39.5585957002327,38.4796255019174,38.7935448665895,28.6560140719937,25.9770973997694,33.1937362375897,32.6259175666895,40.64677103625,39.2986364722143,44.1655503824656,41.3940503924395,36.9360697194035,35.4371809866326,34.2418729707697,34.3997050441658,34.1322686748013,38.1724096631038,37.7724135538386,36.7913393383954,35.3597234270791,36.6817274217008,35.8602296112,44.0619049523683,43.8843426746147
"Chai Nat",43.2960946363446,40.5253945573427,39.372332747501,38.9762133367144,38.294895286862,35.3545038662583,33.6655275892896,25.6935626186314,20.9287830779616,37.9711158114039,39.3531550538777,39.5695054609189,39.1487791590568,40.2529069986719,37.0001939914551,39.2386544798825,37.1266867610771,34.0538391651647,37.0687746644548,34.5783478726794,39.2609607596245,40.3401436107149,41.4271130969581,42.8289177770432,43.5390550955127,44.6476878003038
"Chaiyaphum",60.0967712494759,52.0433356204176,51.6003489988008,48.958073092287,46.6644368140246,29.8877440301436,27.401091710905,35.5935422440602,33.3805883016593,37.6335635581403,34.9414989473848,34.8321648537685,32.0592165295869,36.3780352453494,36.8297098810477,34.292781468122,34.1489817458416,30.9615254293637,33.3914582316537,32.4336211039462,44.0319908824666,41.6076276426995,37.7193945234162,36.1547984362188,43.2162453724371,38.5940211912016
"Chanthaburi",41.0415875880411,40.3174783476544,37.4998286566188,37.1855185808929,37.0996673133023,34.6437779786552,34.0374681238269,30.9636971974268,28.3560536981627,37.9970873889584,37.0284533190987,36.7707860630418,35.8669137487372,43.9104366392466,42.5440253431243,41.3373686560554,34.3923432552899,32.3730033427966,39.7879029294527,39.3684761356901,35.898068154413,35.543699260702,34.4594034560504,33.2451253860306,47.2908413397729,44.6259269954433
"Chiang Mai",46.4964973578729,44.7049253176132,49.2906176956119,47.451677768937,45.5793625483738,30.7228283209237,28.7407194850484,33.4076293080652,31.833318279567,33.6963431790218,32.7600350507433,47.6094935742778,44.9166951989802,36.7191622757604,35.7511920731756,35.5798747341129,31.9602046690221,30.1740857276782,37.5162293523206,36.5420384919534,33.1051651553564,32.4314263383347,35.8478926851944,35.2769081206433,54.8248636739657,48.1360758937615
"Chiang Rai",55.4061667449514,48.5625400941771,37.4000346541566,37.2267842473689,37.2103410288476,30.957494865784,29.5375640443204,35.6356857046113,35.7576215037105,38.6085364263916,38.0588211359041,40.3044885096571,39.4915212670982,32.4889774786464,32.297864064944,30.7720637588292,33.4024019132459,32.8153117933904,34.1092541825512,33.7197058788458,35.0831274022046,34.7542039912676,32.3374258262567,31.5144586369184,50.4478649240227,45.5209776669365
"Chon Buri",41.2059241757282,40.3251470991854,38.9540223744763,38.2249939527173,38.1975658877367,31.3737696472549,30.0297755131395,28.3674582642963,25.0730090796741,35.0203656605637,34.6032138943677,42.0642581480888,40.4390518383533,39.1333971359015,38.994211235674,37.1868965824937,41.460716901583,40.1987946007248,39.110955726657,37.5913734783305,41.6795023072836,39.9511623850687,37.0873690252186,36.4431734488061,45.1396240218247,44.0425740689712
"Chumphon",44.4097773211756,42.6611535208404,36.7349154777895,36.0399243272492,35.3561924324342,35.7605059533068,34.3653253706852,38.870442013304,36.3414787954361,35.4696867813341,34.7554134266149,45.0050651285984,40.6250092208469,40.4400058796451,37.5681061510001,37.5180152681178,43.9157964399358,42.0837719793061,41.0715540706074,39.5540509529172,31.7104622647967,29.3411926668644,33.218301728014,30.9071214450872,43.2171180472898,48.3378299835901
"Kalasin",45.3773939141003,41.527043114557,44.3729817218781,42.4428820214157,41.2248447535485,40.489554963854,39.9443625230826,41.4249212483643,38.945616000584,34.5066234347415,32.9033322972218,44.9470811771887,41.3117960108795,33.6215206874487,34.4088721983396,30.8993993671633,34.4555287416429,31.5730948222716,40.5566603319402,39.1366450773455,35.6630838466699,32.4359922629558,37.0877822375433,34.1452497370919,45.9597246643374,40.1921746248128
"Kamphaeng Phet",46.7382659018085,43.3143321693501,43.3982166946712,41.9293295599786,41.6509567251041,30.8444650594977,28.7143438702134,33.0962381264171,31.4352057857231,38.0861799598606,38.6442135716099,34.5844288329964,34.5814785272148,38.8069789906148,38.7442182415702,38.6315618802059,32.2575271355925,30.0213129562378,37.0660016260352,36.2400658689317,38.7030731941152,34.7525890851823,33.989323504835,33.4494757214821,61.8231190430681,52.1611347856366
"Kanchanaburi",35.859238906649,35.7533652474973,41.5488545668688,40.3717598612367,40.193248455363,37.5961043955386,36.8516838301409,29.1492788038154,26.305847906888,37.8757850279486,37.3397647367952,43.459546120982,40.8898408866474,41.4414380921517,41.156453354369,40.2199469593733,31.1207845548417,29.0446194025663,43.4393602088683,41.5193271139502,31.1587077434708,30.1617599137616,37.1608475156743,37.7013514544342,47.5645428991056,45.5956006982718
