,InitialS,InitialI
Ang Thong,0.037896907,0.001053604
Buri Ram,0.035515128,0.00035262
Chachoengsao,0.036580812,0.00144965
Chai Nat,0.039475593,0.001030691
Chaiyaphum,0.031069112,0.001429358
Chanthaburi,0.034171837,0.000728042
Chiang Mai,0.037061512,0.000367973
Chiang Rai,0.032729285,0.001505735
Chon Buri,0.034515828,0.002203982
Chumphon,0.03096659,0.001068739
Kalasin,0.033649425,0.001074849
Kamphaeng Phet,0.033907248,0.002165122
Kanchanaburi,0.03288473,0.001050422
Khon Kaen,0.035177221,0.000349265
Krabi,0.031063136,0.000715059
Bangkok Metropolis,0.029582805,0.00306097
Lampang,0.03903332,0.000723815
Lamphun,0.034577489,0.001027944
Loei,0.031608997,0.001817481
Lop Buri,0.030117027,0.002770109
Mae Hong Son,0.034343572,0.001580002
Maha Sarakham,0.035357342,0.000701091
Nakhon Nayok,0.041662207,0.001087782
Nakhon Pathom,0.034442217,0.001832912
Nakhon Phanom,0.040439991,0.000352637
Nakhon Ratchasima,0.0384174,0.000712394
Nakhon Sawan,0.030663623,0.002820384
Nakhon Si Thammarat,0.030432661,0.001050312
Nan,0.031187997,0.00107638
Narathiwat,0.031136687,0.001074609
Nong Khai,0.030472472,0.001752132
Nonthaburi,0.038717379,0.001648578
Pathum Thani,0.039570976,0.001568147
Pattani,0.030678148,0.000706197
Phangnga,0.030165335,0.002081165
Phatthalung,0.030362501,0.00139685
Phayao,0.030780719,0.001062324
Phetchabun,0.033441803,0.001423945
Phetchaburi,0.038161517,0.001414273
Phichit,0.041102194,0.000715786
Phitsanulok,0.031636846,0.002909899
Phrae,0.032590793,0.000694357
Phra Nakhon Si Ayutthaya,0.035908419,0.000712018
Phuket,0.038112751,0.000755727
Prachin Buri,0.03245863,0.001202923
Prachuap Khiri Khan,0.035221609,0.000698399
Ranong,0.038714857,0.000767666
Ratchaburi,0.043696466,0.001075434
Rayong,0.030974739,0.001425016
Roi Et,0.030855784,0.001064915
Sakon Nakhon,0.034332619,0.000731467
Samut Prakan,0.038680593,0.002298738
Samut Sakhon,0.042829632,0.001863052
Samut Songkhram,0.037605082,0.001393651
Saraburi,0.033921049,0.002166003
Satun,0.031251547,0.001437751
Sing Buri,0.037634512,0.002091608
Si Sa Ket,0.041189094,0.000359169
Songkhla,0.030439249,0.002100063
Sukhothai,0.038056851,0.000705708
Suphan Buri,0.042699871,0.000700943
Surat Thani,0.031137397,0.001074634
Surin,0.03769886,0.001048098
Tak,0.042629106,0.001185168
Trang,0.030679223,0.001411421
Trat,0.032174695,0.00037086
Ubon Ratchathani,0.03645832,0.000338522
Udon Thani,0.038168061,0.000996551
Uthai Thani,0.102885369,0.002129479
Uttaradit,0.037689487,0.000698896
Yala,0.033834868,0.001800591
Yasothon,0.038057449,0.00035337
