"","1980-Jan","1980-Feb","1980-Mar","1980-Apr","1980-May","1980-Jun","1980-Jul","1980-Aug","1980-Sep","1980-Oct","1980-Nov","1980-Dec","1981-Jan","1981-Feb","1981-Mar","1981-Apr","1981-May","1981-Jun","1981-Jul","1981-Aug","1981-Sep","1981-Oct","1981-Nov","1981-Dec","1982-Jan","1982-Feb","1982-Mar","1982-Apr","1982-May","1982-Jun","1982-Jul","1982-Aug","1982-Sep","1982-Oct","1982-Nov","1982-Dec","1983-Jan","1983-Feb","1983-Mar","1983-Apr","1983-May","1983-Jun","1983-Jul","1983-Aug","1983-Sep","1983-Oct","1983-Nov","1983-Dec","1984-Jan","1984-Feb","1984-Mar","1984-Apr","1984-May","1984-Jun","1984-Jul","1984-Aug","1984-Sep","1984-Oct","1984-Nov","1984-Dec","1985-Jan","1985-Feb","1985-Mar","1985-Apr","1985-May","1985-Jun","1985-Jul","1985-Aug","1985-Sep","1985-Oct","1985-Nov","1985-Dec","1986-Jan","1986-Feb","1986-Mar","1986-Apr","1986-May","1986-Jun","1986-Jul","1986-Aug","1986-Sep","1986-Oct","1986-Nov","1986-Dec","1987-Jan","1987-Feb","1987-Mar","1987-Apr","1987-May","1987-Jun","1987-Jul","1987-Aug","1987-Sep","1987-Oct","1987-Nov","1987-Dec","1988-Jan","1988-Feb","1988-Mar","1988-Apr","1988-May","1988-Jun","1988-Jul","1988-Aug","1988-Sep","1988-Oct","1988-Nov","1988-Dec","1989-Jan","1989-Feb","1989-Mar","1989-Apr","1989-May","1989-Jun","1989-Jul","1989-Aug","1989-Sep","1989-Oct","1989-Nov","1989-Dec","1990-Jan","1990-Feb","1990-Mar","1990-Apr","1990-May","1990-Jun","1990-Jul","1990-Aug","1990-Sep","1990-Oct","1990-Nov","1990-Dec","1991-Jan","1991-Feb","1991-Mar","1991-Apr","1991-May","1991-Jun","1991-Jul","1991-Aug","1991-Sep","1991-Oct","1991-Nov","1991-Dec","1992-Jan","1992-Feb","1992-Mar","1992-Apr","1992-May","1992-Jun","1992-Jul","1992-Aug","1992-Sep","1992-Oct","1992-Nov","1992-Dec","1993-Jan","1993-Feb","1993-Mar","1993-Apr","1993-May","1993-Jun","1993-Jul","1993-Aug","1993-Sep","1993-Oct","1993-Nov","1993-Dec","1994-Jan","1994-Feb","1994-Mar","1994-Apr","1994-May","1994-Jun","1994-Jul","1994-Aug","1994-Sep","1994-Oct","1994-Nov","1994-Dec","1995-Jan","1995-Feb","1995-Mar","1995-Apr","1995-May","1995-Jun","1995-Jul","1995-Aug","1995-Sep","1995-Oct","1995-Nov","1995-Dec","1996-Jan","1996-Feb","1996-Mar","1996-Apr","1996-May","1996-Jun","1996-Jul","1996-Aug","1996-Sep","1996-Oct","1996-Nov","1996-Dec","1997-Jan","1997-Feb","1997-Mar","1997-Apr","1997-May","1997-Jun","1997-Jul","1997-Aug","1997-Sep","1997-Oct","1997-Nov","1997-Dec","1998-Jan","1998-Feb","1998-Mar","1998-Apr","1998-May","1998-Jun","1998-Jul","1998-Aug","1998-Sep","1998-Oct","1998-Nov","1998-Dec","1999-Jan","1999-Feb","1999-Mar","1999-Apr","1999-May","1999-Jun","1999-Jul","1999-Aug","1999-Sep","1999-Oct","1999-Nov","1999-Dec","2000-Jan","2000-Feb","2000-Mar","2000-Apr","2000-May","2000-Jun","2000-Jul","2000-Aug","2000-Sep","2000-Oct","2000-Nov","2000-Dec","2001-Jan","2001-Feb","2001-Mar","2001-Apr","2001-May","2001-Jun","2001-Jul","2001-Aug","2001-Sep","2001-Oct","2001-Nov","2001-Dec","2002-Jan","2002-Feb","2002-Mar","2002-Apr","2002-May","2002-Jun","2002-Jul","2002-Aug","2002-Sep","2002-Oct","2002-Nov","2002-Dec","2003-Jan","2003-Feb","2003-Mar","2003-Apr","2003-May","2003-Jun","2003-Jul","2003-Aug","2003-Sep","2003-Oct","2003-Nov","2003-Dec","2004-Jan","2004-Feb","2004-Mar","2004-Apr","2004-May","2004-Jun","2004-Jul","2004-Aug","2004-Sep","2004-Oct","2004-Nov","2004-Dec","2005-Jan","2005-Feb","2005-Mar","2005-Apr","2005-May","2005-Jun","2005-Jul","2005-Aug","2005-Sep","2005-Oct","2005-Nov","2005-Dec","2006-Jan","2006-Feb","2006-Mar","2006-Apr","2006-May","2006-Jun","2006-Jul","2006-Aug","2006-Sep","2006-Oct","2006-Nov","2006-Dec","2007-Jan","2007-Feb","2007-Mar","2007-Apr","2007-May","2007-Jun","2007-Jul","2007-Aug","2007-Sep","2007-Oct","2007-Nov","2007-Dec","2008-Jan","2008-Feb","2008-Mar","2008-Apr","2008-May","2008-Jun","2008-Jul","2008-Aug","2008-Sep","2008-Oct","2008-Nov","2008-Dec","2009-Jan","2009-Feb","2009-Mar","2009-Apr","2009-May","2009-Jun","2009-Jul","2009-Aug","2009-Sep","2009-Oct","2009-Nov","2009-Dec","2010-Jan","2010-Feb","2010-Mar","2010-Apr","2010-May","2010-Jun","2010-Jul","2010-Aug","2010-Sep","2010-Oct","2010-Nov","2010-Dec","2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec"
"Ang Thong",11,10,3,6,2,1,1,1,1,0,1,0,2,1,4,8,4,9,0,10,12,11,7,10,37,33,31,8,14,5,4,6,4,3,1,7,2,18,20,10,2,31,2,10,4,10,9,8,33,25,49,34,1,10,12,8,11,18,15,19,28,45,36,16,9,9,18,5,2,8,2,3,15,26,20,19,8,16,7,9,5,5,1,3,14,20,22,7,8,25,38,16,13,11,32,14,27,24,8,8,9,11,15,5,10,2,2,2,4,4,5,1,6,4,1,3,2,2,0,5,14,15,33,5,24,34,10,6,5,7,22,20,17,44,73,25,10,23,24,8,10,7,0,5,5,3,9,6,2,4,1,3,1,1,1,0,1,1,3,6,28,10,7,2,3,12,16,13,63,46,48,20,2,5,4,9,1,7,1,18,11,2,10,2,10,3,2,3,8,3,0,3,4,4,6,0,1,1,2,3,1,0,1,1,3,8,13,5,1,9,1,18,34,94,13,11,5,5,10,2,2,0,2,2,1,0,0,0,1,1,0,3,3,1,2,1,1,1,2,2,2,1,3,2,3,4,0,1,2,2,1,0,2,4,1,0,2,1,3,2,0,3,2,0,0,1,4,3,0,0,2,1,0,2,1,0,0,0,1,0,3,0,1,2,1,1,2,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,3,1,1,1,2,1,0,0,0,1,4,3,0,3,5,1,1,1,0,0,0,1,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buri Ram",20,48,65,57,33,27,62,82,48,31,31,32,31,44,100,102,102,97,114,110,82,32,19,28,35,86,131,75,83,80,57,71,40,66,51,19,85,132,278,165,83,96,50,31,53,53,65,49,59,102,125,109,96,173,92,74,76,57,46,45,65,88,42,62,48,60,103,103,105,104,52,26,42,62,66,48,38,27,32,37,19,11,22,10,10,13,12,41,48,64,64,66,66,126,154,80,133,162,163,133,77,90,54,52,47,23,3,20,14,22,18,16,5,9,5,15,6,8,19,8,21,36,49,39,69,95,139,154,122,94,88,62,107,75,151,49,68,126,109,69,46,31,11,11,23,22,35,11,10,5,6,8,4,5,2,2,4,12,20,7,14,11,7,8,10,18,15,22,49,112,159,129,72,76,106,89,65,44,30,14,27,26,35,33,26,44,39,24,14,15,7,4,6,12,16,5,9,16,9,9,11,16,19,27,55,75,170,82,38,81,109,85,64,37,36,44,111,103,131,48,21,26,18,12,13,7,2,3,6,12,10,10,4,4,10,6,9,2,3,2,5,7,8,6,6,7,6,5,1,1,5,3,4,6,5,3,8,11,20,17,13,29,4,4,4,5,15,12,33,78,66,32,25,24,3,4,17,35,58,26,14,14,13,11,10,17,12,2,12,11,1,3,5,11,8,7,4,0,4,0,3,5,2,1,3,2,0,0,1,1,0,0,53,53,51,36,23,19,23,19,35,6,9,7,12,10,16,10,15,15,6,17,11,13,15,14,45,47,33,26,12,29,78,103,138,72,46,76,115,116,123,56,33,46,22,15,8,2,11,9,10,15,13,11,2,5,3,11,6,7,9,7,8,21,25,11,25,18,26,17,35,25,10,18,12,13,44,21,19,26,31,14,15,18,30,8,23,13,18,17,13,12,7,23,8,10,7,5,8,7,6,8,6,9,7,4,7,4,4,6,9,9,8,5,9,11,5,5,2,8,19,17
"Chachoengsao",21,24,27,5,6,11,6,8,7,4,5,8,9,6,23,15,15,9,32,31,16,11,15,13,42,58,53,24,27,30,29,9,21,26,37,28,22,52,47,16,12,18,20,22,10,40,34,36,68,107,112,75,29,50,77,77,70,61,29,35,25,25,29,21,16,11,9,12,12,25,12,14,24,52,73,30,13,20,12,8,7,4,6,17,12,21,50,37,18,44,38,43,50,90,128,74,106,88,76,34,16,31,11,13,24,26,32,21,19,14,18,18,9,13,17,16,7,8,9,13,43,34,51,30,18,20,27,34,13,20,20,36,116,111,121,81,31,27,28,8,4,6,7,4,6,7,11,8,4,7,4,2,8,4,1,8,12,14,20,10,12,5,6,6,12,13,21,60,178,172,142,102,38,18,48,70,44,41,11,6,13,4,10,6,5,1,6,5,4,8,4,2,5,7,23,9,6,1,4,7,4,0,3,4,13,14,33,31,8,27,36,44,16,14,19,10,15,19,12,6,6,7,7,6,7,2,6,5,5,5,7,3,2,6,3,4,2,2,0,0,5,5,4,3,1,1,4,4,2,1,2,0,6,6,9,5,2,4,2,3,1,2,9,19,44,97,100,25,29,13,7,14,9,6,8,4,4,3,17,2,5,4,4,15,8,17,13,7,9,13,11,6,6,6,8,5,2,15,5,14,8,9,5,5,6,6,8,1,1,3,3,3,2,2,4,3,8,9,2,6,7,6,1,0,3,12,12,3,8,17,7,14,9,9,4,4,6,8,4,11,7,6,10,3,11,6,6,7,27,50,52,23,7,3,10,12,8,9,2,2,3,14,4,5,11,3,13,11,11,2,2,5,3,9,6,14,5,10,8,5,13,3,9,10,14,14,15,13,7,5,9,10,27,8,6,6,7,19,40,9,9,13,18,17,11,11,5,9,1,1,3,3,5,6,5,6,17,9,7,1,4,6,11,1,12,3,0,2,6,3,1,4
"Chai Nat",14,26,42,24,4,7,6,6,4,2,5,7,4,5,7,6,8,7,13,13,20,18,10,19,37,40,33,27,9,3,2,11,4,3,1,7,7,6,15,14,2,2,10,5,6,10,9,18,38,52,36,43,5,13,11,17,16,11,31,25,30,46,57,23,8,9,5,8,7,6,11,17,16,14,17,7,8,8,12,9,7,5,4,7,2,6,10,19,7,10,19,20,13,18,72,34,37,19,14,8,9,0,2,1,1,9,3,11,22,16,15,12,1,5,10,13,17,7,27,25,27,22,28,20,5,15,12,26,19,10,15,17,28,23,31,10,4,2,1,4,1,2,0,1,2,1,11,1,0,1,1,0,1,1,0,0,0,3,4,4,2,0,2,1,0,6,4,9,11,24,30,49,20,130,40,24,24,17,7,6,5,6,8,3,0,1,1,1,1,1,0,1,3,3,1,0,2,2,2,0,0,0,0,0,1,3,5,4,2,1,2,4,0,4,6,4,9,13,4,6,3,3,0,2,2,1,0,1,2,2,5,3,0,0,1,3,3,5,8,0,8,8,6,5,0,2,0,3,5,4,3,2,3,2,0,2,2,4,2,4,7,15,6,16,9,12,16,9,2,1,3,0,1,3,0,0,0,1,2,1,0,0,0,0,4,2,2,0,2,0,4,1,1,0,0,1,0,0,3,0,3,2,0,3,1,0,1,1,0,1,1,0,1,9,12,7,10,10,2,2,2,1,0,3,3,1,5,2,3,6,3,8,2,10,5,2,11,16,16,14,7,9,8,12,20,22,22,7,10,13,11,7,4,12,5,3,6,9,3,1,6,3,3,2,5,6,7,9,7,7,0,0,2,5,7,14,5,5,10,4,0,2,2,1,0,2,5,9,5,1,3,4,7,9,1,3,1,1,5,3,2,2,7,8,3,0,1,0,0,1,1,1,1,1,4,1,1,1,2,0,1,1,1,3,2,4,4,3,2,1,3,2
"Chaiyaphum",9,29,49,18,20,14,7,8,2,2,4,2,3,6,41,11,14,16,9,12,11,0,4,0,7,25,39,14,20,29,16,18,11,7,15,17,26,66,189,134,70,55,52,26,18,21,27,34,19,53,69,59,41,28,27,20,14,19,19,23,34,49,64,58,40,55,69,51,36,15,47,21,25,23,58,50,30,41,23,30,14,20,24,10,23,18,39,18,18,36,54,105,99,159,148,107,181,158,207,116,73,70,38,37,40,29,53,24,36,27,19,10,9,11,20,14,8,18,14,10,16,38,19,22,38,55,64,33,39,38,40,38,80,80,159,64,44,50,48,30,24,26,12,3,10,19,22,13,11,19,19,15,7,6,6,2,6,13,17,14,21,53,34,25,22,15,13,9,61,101,163,113,112,256,297,183,111,82,35,42,31,28,20,5,11,23,23,28,21,15,4,4,12,17,11,6,9,9,13,6,6,3,1,1,9,7,17,15,25,16,29,39,40,47,38,25,37,37,50,8,9,10,7,5,2,8,2,0,3,2,0,2,1,10,3,2,3,0,4,1,9,9,28,7,13,10,4,5,3,1,5,5,6,6,6,10,3,8,26,165,104,106,15,10,4,11,12,12,11,13,7,2,5,12,3,12,6,1,3,5,8,6,3,2,1,0,2,1,5,26,43,9,3,5,7,6,6,6,2,2,2,3,3,1,2,2,4,4,2,3,0,3,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,2,0,1,0,0,2,0,0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chanthaburi",34,42,39,28,21,25,33,80,45,30,38,29,32,38,25,13,4,14,10,11,10,10,8,11,21,38,42,47,31,32,13,18,25,41,25,16,79,107,146,117,64,52,46,52,70,109,102,84,101,86,63,63,44,30,43,38,16,29,19,10,22,36,39,27,11,20,21,41,55,70,59,78,106,136,78,68,38,23,18,17,10,3,6,11,15,33,33,38,17,43,83,192,187,187,198,76,67,76,74,47,21,12,21,14,8,12,8,7,5,9,9,11,7,8,9,8,1,2,6,18,11,28,47,31,12,19,40,34,25,14,29,12,20,31,29,21,11,27,13,5,1,3,1,7,6,5,16,5,6,4,2,6,6,7,1,3,13,25,36,12,6,14,13,20,52,153,117,137,214,94,57,15,9,12,9,6,4,1,1,0,1,2,8,0,8,9,10,8,6,2,2,2,4,2,4,2,4,7,5,6,6,4,2,2,3,5,2,7,2,4,8,6,9,8,16,30,26,25,15,8,6,5,5,24,26,8,6,1,2,0,3,1,2,4,3,4,5,8,1,2,3,2,3,0,2,3,0,4,2,2,1,0,1,2,0,3,4,2,1,1,1,0,1,1,3,10,9,7,4,15,11,2,1,4,0,2,5,0,4,2,2,1,0,4,0,3,0,2,0,1,2,3,1,3,2,3,0,0,2,6,55,42,20,7,2,5,6,2,4,1,2,2,3,3,6,0,2,6,4,3,2,0,1,0,3,1,3,1,0,1,1,2,2,3,0,0,1,4,3,1,2,2,4,2,1,1,5,1,1,0,4,1,0,3,0,0,2,2,0,0,0,1,1,1,1,2,2,1,1,1,1,0,2,0,0,2,1,1,3,3,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0
"Chiang Mai",27,45,71,49,2,8,62,54,21,14,11,55,39,66,179,85,48,34,45,37,26,35,21,21,40,69,168,88,40,35,38,27,18,21,18,12,29,44,56,51,56,43,160,65,56,54,37,2,113,139,210,129,193,130,68,135,96,81,66,21,55,92,252,156,53,40,92,136,50,57,54,11,50,56,91,49,36,26,34,22,15,3,10,18,23,23,74,41,33,41,55,43,54,33,21,51,148,235,258,91,137,145,110,65,62,64,50,60,43,31,29,15,7,10,15,12,14,14,12,31,37,48,26,21,29,39,118,64,25,10,11,28,33,55,109,79,36,39,58,49,57,32,36,23,11,12,27,15,7,9,16,17,12,13,6,8,20,31,48,16,14,13,43,17,29,22,17,32,129,185,243,115,198,248,242,86,64,46,18,33,37,38,50,30,55,38,8,14,10,9,16,0,9,3,8,5,6,5,9,4,4,5,5,11,36,57,26,9,8,7,14,6,5,12,20,10,43,125,132,60,55,64,41,13,14,12,4,2,4,1,5,6,12,14,2,3,6,6,1,5,5,6,6,4,6,4,7,3,2,1,1,1,0,3,1,1,4,3,6,2,1,6,8,8,74,43,62,48,19,34,52,43,38,15,3,1,19,10,24,8,11,12,4,13,10,5,3,3,8,10,9,10,7,10,9,18,9,4,6,10,21,17,6,11,8,6,5,16,3,8,4,1,4,2,8,5,5,8,9,1,3,10,1,2,3,3,3,0,5,5,4,3,4,1,0,3,7,7,4,6,7,12,8,2,7,9,3,6,0,6,8,6,2,6,5,2,5,3,2,0,3,1,4,0,1,3,3,2,6,2,2,2,4,2,1,2,3,5,1,1,2,0,3,0,0,2,3,1,0,3,2,1,3,3,2,1,4,0,4,2,0,5,3,3,1,1,0,1,0,0,0,1,0,2,1,2,4,1,2,0,0,0,0,0,1,1,1,0,3,1,4,1
"Chiang Rai",3,74,31,0,4,9,37,15,11,13,11,9,33,52,80,53,58,50,56,31,27,20,32,26,31,53,99,81,95,71,66,35,46,32,34,24,35,34,40,44,12,21,17,25,29,32,33,41,87,191,174,107,94,161,194,145,86,81,49,21,58,142,81,79,37,44,37,28,27,56,26,22,49,32,43,35,36,44,33,18,11,9,11,8,8,7,18,17,17,38,77,76,39,47,58,64,113,174,170,91,107,100,85,63,29,17,10,9,17,15,18,11,13,15,7,11,3,6,4,3,14,19,44,42,13,44,19,27,18,13,19,21,24,35,41,39,34,71,109,66,48,35,42,27,5,30,54,28,13,20,26,28,32,47,19,15,26,63,99,46,21,23,52,35,33,27,20,17,31,52,31,17,32,49,47,95,113,101,44,39,67,88,56,17,14,12,13,10,15,7,2,1,5,6,10,3,10,5,8,5,44,2,3,3,11,12,35,18,18,77,44,86,96,99,107,140,255,179,206,81,33,42,42,19,13,8,6,11,8,5,16,8,10,9,9,9,5,2,3,4,6,3,6,3,6,7,9,5,4,3,4,5,12,2,5,2,3,5,4,8,7,5,4,1,3,5,22,27,17,53,19,6,5,8,3,0,8,11,11,10,9,11,9,5,8,7,1,2,7,10,11,6,5,5,3,1,0,3,1,1,2,3,3,1,3,6,8,3,2,0,0,0,1,4,3,7,3,3,7,11,10,8,3,8,11,16,12,17,12,9,5,7,8,3,4,4,30,85,53,10,4,116,132,89,76,39,27,17,7,20,24,20,24,11,22,4,8,7,4,5,3,10,15,15,11,16,21,17,4,3,1,3,3,6,17,5,6,7,3,4,6,15,16,3,11,11,12,10,9,28,21,43,11,11,11,9,5,8,6,4,11,11,11,18,7,4,5,2,2,1,0,2,1,1,3,3,2,1,3,6,2,0,0,1,1,2,2,2,3,6,0,1
"Chon Buri",43,70,39,47,9,7,12,7,8,14,19,14,12,40,72,24,18,8,25,39,59,38,20,20,52,34,29,35,21,21,9,8,9,17,20,25,51,42,80,36,14,20,17,29,48,110,211,207,241,245,234,111,56,55,79,78,60,48,47,41,57,42,67,34,31,39,38,49,43,58,59,85,68,67,97,72,32,14,72,17,26,28,36,37,52,49,119,140,71,211,278,313,253,179,152,97,122,123,112,43,19,15,26,28,8,5,15,19,27,46,49,34,13,40,22,28,19,27,51,71,66,70,113,49,15,32,33,64,53,42,37,65,128,111,152,77,20,19,46,16,13,98,8,8,34,12,45,86,33,11,45,8,16,19,5,8,26,62,117,25,17,10,110,29,30,58,37,154,572,324,385,123,41,56,32,43,27,15,15,10,11,7,23,13,13,13,20,13,6,51,8,6,6,9,8,7,8,7,14,7,16,7,7,5,10,21,48,26,16,15,12,14,20,25,22,19,32,24,42,27,11,14,9,26,10,14,16,16,28,17,9,3,4,3,5,8,4,3,3,2,11,14,16,11,9,6,3,7,8,7,2,5,3,12,10,6,10,3,4,6,4,5,12,11,22,25,36,14,13,37,20,11,4,8,3,1,5,9,10,9,4,4,6,4,2,7,4,3,5,13,11,8,4,4,3,1,3,3,2,1,2,6,6,6,2,4,0,2,1,2,3,3,2,3,5,4,1,2,4,1,3,8,70,23,73,25,7,14,5,5,7,1,4,0,2,4,3,3,3,3,7,6,6,4,4,4,5,2,3,8,14,4,6,11,9,2,5,0,1,2,1,3,6,6,5,3,1,1,2,5,0,6,2,1,2,2,1,0,1,2,1,1,4,4,20,5,10,9,11,9,41,26,6,1,0,2,6,9,10,5,8,3,1,1,2,2,0,1,0,0,0,1,2,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Chumphon",18,19,12,4,9,3,6,2,7,12,8,5,0,15,19,7,14,8,14,31,39,42,19,2,37,45,56,42,34,35,22,26,43,38,24,3,9,5,0,21,5,13,9,7,13,18,10,9,11,20,8,4,10,2,27,25,24,34,22,26,22,29,36,37,28,53,48,47,28,19,15,6,8,16,12,15,11,16,10,9,6,7,3,1,9,6,6,8,1,2,8,13,14,36,38,28,53,69,49,51,28,41,19,34,9,10,26,19,20,17,21,12,6,13,9,16,11,11,3,9,14,31,53,37,22,23,40,45,45,27,36,26,33,30,17,19,27,23,38,44,29,28,20,12,10,2,17,8,4,7,11,4,3,2,2,7,5,8,19,5,8,3,8,26,69,103,81,56,112,136,114,49,16,12,9,11,5,10,2,4,14,8,7,12,5,5,9,13,9,5,5,4,3,3,4,4,4,3,14,9,5,13,3,4,5,5,9,3,1,6,2,4,0,18,7,9,22,47,27,22,12,4,13,25,11,12,12,4,0,7,2,3,1,3,3,5,6,1,3,4,4,0,3,7,9,2,1,2,0,2,4,0,3,3,0,2,0,3,7,12,50,35,10,18,16,15,8,7,4,2,2,1,6,1,0,0,1,0,2,0,0,2,1,0,3,4,6,6,7,1,1,3,1,1,4,8,18,19,4,2,2,1,0,3,0,0,0,5,4,1,3,0,3,6,5,9,12,21,17,14,7,15,11,7,20,10,16,12,11,12,9,3,7,9,4,12,60,26,21,18,20,18,25,35,39,22,30,26,60,76,145,77,47,43,22,7,6,8,6,5,30,18,13,31,8,11,7,10,9,1,0,0,9,3,6,14,7,7,20,7,8,10,6,8,6,12,9,15,19,17,23,42,26,35,61,40,65,82,55,46,100,18,23,8,17,9,5,3,5,4,7,3,0,6,0,4,2,5,5,3,3,4,6,2,6,2,2,3,14,9,1,2
