"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"Ang Thong",255454.8637,257585.6901,259716.5165,261000,266000,264240,266900,269300,272100,276265,278168,279756,284138,283055,284420,286389,288037,291678.9121,293809.7385,295940.5648,298071.3912,300202.2176,302333.044,304463.8703,306594.6967,308725.5231,310856.3495,312987.1758,315118.0022,317248.8286,319379.6549,321510.4813,323641.3077,325772.1341,327902.9604,330033.7868
"Buri Ram",1224446.534,1241364.47,1258282.407,1245000,1274000,1293460,1318100,1355500,1385900,1413369,1431563,1449278,1417329,1428513,1445053,1458288,1476984,1512051.451,1528969.387,1545887.323,1562805.259,1579723.196,1596641.132,1613559.068,1630477.004,1647394.941,1664312.877,1681230.813,1698148.749,1715066.686,1731984.622,1748902.558,1765820.495,1782738.431,1799656.367,1816574.303
"Chachoengsao",446576.8484,458095.9846,469615.1209,482000,489000,507800,511000,513800,516400,570760,579137,587217,593170,597393,605328,609241,621875,642402.1648,653921.3011,665440.4374,676959.5736,688478.7099,699997.8462,711516.9824,723036.1187,734555.2549,746074.3912,757593.5275,769112.6637,780631.8,792150.9363,803670.0725,815189.2088,826708.3451,838227.4813,849746.6176
"Chai Nat",299796.0198,303730.6418,307665.2637,292000,289000,331860,333400,334700,335700,353743,355151,357014,339329,348333,348311,350318,351590,366684.5934,370619.2154,374553.8374,378488.4593,382423.0813,386357.7033,390292.3253,394226.9473,398161.5692,402096.1912,406030.8132,409965.4352,413900.0571,417834.6791,421769.3011,425703.9231,429638.5451,433573.167,437507.789
"Chaiyaphum",877391.1824,892764.7121,908138.2418,924000,941000,945900,958500,970100,980900,1035718,1051834,1067371,1086331,1086726,1083543,1093063,1103170,1138741.187,1154114.716,1169488.246,1184861.776,1200235.305,1215608.835,1230982.365,1246355.895,1261729.424,1277102.954,1292476.484,1307850.013,1323223.543,1338597.073,1353970.602,1369344.132,1384717.662,1400091.191,1415464.721
"Chanthaburi",296097.5187,308595.1934,321092.8681,314000,321000,370410,379800,388700,397800,426995,435768,442898,455158,459955,464155,471813,479104,508557.989,521055.6637,533553.3385,546051.0132,558548.6879,571046.3626,583544.0374,596041.7121,608539.3868,621037.0615,633534.7363,646032.411,658530.0857,671027.7604,683525.4352,696023.1099,708520.7846,721018.4593,733516.1341
"Chiang Mai",1058977.98,1092505.644,1126033.308,1176000,1181000,1243470,1263800,1282900,1301900,1356556,1367967,1382136,1530779,1534074,1547085,1552766,1564438,1628948.264,1662475.927,1696003.591,1729531.255,1763058.919,1796586.582,1830114.246,1863641.91,1897169.574,1930697.237,1964224.901,1997752.565,2031280.229,2064807.892,2098335.556,2131863.22,2165390.884,2198918.547,2232446.211
"Chiang Rai",825002.0022,852429.1824,879856.3626,965000,978000,966380,978400,990600,1001700,1015562,1033387,1043423,1229415,1241865,1251581,1249328,1253202,1291264.066,1318691.246,1346118.426,1373545.607,1400972.787,1428399.967,1455827.147,1483254.327,1510681.508,1538108.688,1565535.868,1592963.048,1620390.229,1647817.409,1675244.589,1702671.769,1730098.949,1757526.13,1784953.31
"Chon Buri",627068.8593,651890.4681,676712.0769,687000,696000,770120,780000,789200,798600,908206,903808,917263,927458,948165,962402,982975,1009041,1049036.209,1073857.818,1098679.426,1123501.035,1148322.644,1173144.253,1197965.862,1222787.47,1247609.079,1272430.688,1297252.297,1322073.905,1346895.514,1371717.123,1396538.732,1421360.341,1446181.949,1471003.558,1495825.167
"Chumphon",324437.4176,331817.8022,339198.1868,337000,342000,369000,377300,385400,393400,386988,394030,400713,416048,420644,428329,432867,439996,449903.956,457284.3407,464664.7253,472045.1099,479425.4945,486805.8791,494186.2637,501566.6484,508947.033,516327.4176,523707.8022,531088.1868,538468.5714,545848.956,553229.3407,560609.7253,567990.1099,575370.4945,582750.8791
